,,,Generation,Best
6.5,,,1,6.5
5.5,,,,
5.5,,,,
6.5,,,,
5.5,,,,
11.5,,,2,11.5
10.5,,,,
10.5,,,,
10.5,,,,
10.5,,,,
16.5,,,3,16.5
15.5,,,,
15.5,,,,
15.5,,,,
15.5,,,,
21.5,,,4,21.5
20.5,,,,
20.5,,,,
20.5,,,,
20.5,,,,
26.5,,,5,26.5
25.5,,,,
25.5,,,,
26.5,,,,
25.5,,,,
31.5,,,6,31.5
31.5,,,,
30.5,,,,
30.5,,,,
31.5,,,,
36.5,,,7,36.5
35.5,,,,
35.5,,,,
35.5,,,,
36.5,,,,
41.5,,,8,41.5
40.5,,,,
41.5,,,,
40.5,,,,
41.5,,,,
46.5,,,9,46.5
45.5,,,,
45.5,,,,
45.5,,,,
46.5,,,,
51.5,,,10,51.5
51.5,,,,
51.5,,,,
51.5,,,,
51.5,,,,
56.5,,,11,56.5
56.5,,,,
56.5,,,,
55.5,,,,
56.5,,,,
61.5,,,12,61.5
60.5,,,,
60.5,,,,
60.5,,,,
60.5,,,,
66.5,,,13,66.5
65.5,,,,
66.5,,,,
65.5,,,,
65.5,,,,
71.5,,,14,71.5
71.5,,,,
71.5,,,,
71.5,,,,
70.5,,,,
76.5,,,15,76.5
76.5,,,,
76.5,,,,
75.5,,,,
76.5,,,,
81.5,,,16,81.5
81.5,,,,
80.5,,,,
80.5,,,,
80.5,,,,
86.5,,,17,86.5
86.5,,,,
-24,,,,
85.5,,,,
86.5,,,,
91.5,,,18,91.5
91.5,,,,
90.5,,,,
91.5,,,,
91.5,,,,
96.5,,,19,96.5
96.5,,,,
95.5,,,,
95.5,,,,
95.5,,,,
101.5,,,20,101.5
101.5,,,,
100.5,,,,
101.5,,,,
101.5,,,,
106.5,,,21,106.5
-6,,,,
106.5,,,,
105.5,,,,
105.5,,,,
111.5,,,22,111.5
110.5,,,,
110.5,,,,
111.5,,,,
111.5,,,,
115.5,,,23,116.5
115.5,,,,
115.5,,,,
116.5,,,,
115.5,,,,
121.5,,,24,121.5
121.5,,,,
-5,,,,
-3,,,,
120.5,,,,
126.5,,,25,127.5
125.5,,,,
127.5,,,,
127.5,,,,
126.5,,,,
132.5,,,26,132.5
131.5,,,,
131.5,,,,
-12,,,,
132.5,,,,
137.5,,,27,137.5
136.5,,,,
137.5,,,,
136.5,,,,
136.5,,,,
142.5,,,28,144.5
141.5,,,,
141.5,,,,
141.5,,,,
144.5,,,,
149.5,,,29,149.5
31,,,,
146.5,,,,
149.5,,,,
36,,,,
155.5,,,30,155.5
152.5,,,,
152.5,,,,
153.5,,,,
29,,,,
16,,,31,158.5
30,,,,
156.5,,,,
158.5,,,,
156.5,,,,
162.5,,,32,163.5
-7,,,,
163.5,,,,
39,,,,
162.5,,,,
169.5,,,33,171.5
169.5,,,,
168.5,,,,
31,,,,
171.5,,,,
174.5,,,34,174.5
170.5,,,,
-10,,,,
40,,,,
174.5,,,,
179.5,,,35,179.5
-24,,,,
177.5,,,,
177.5,,,,
176.5,,,,
184.5,,,36,185.5
183.5,,,,
185.5,,,,
182.5,,,,
182.5,,,,
187.5,,,37,188.5
27,,,,
187.5,,,,
62,,,,
188.5,,,,
194.5,,,38,196.5
194.5,,,,
196.5,,,,
194.5,,,,
192.5,,,,
198.5,,,39,199.5
199.5,,,,
0,,,,
26,,,,
199.5,,,,
204.5,,,40,205.5
204.5,,,,
205.5,,,,
203.5,,,,
63,,,,
210.5,,,41,210.5
48,,,,
210.5,,,,
206.5,,,,
209.5,,,,
214.5,,,42,215.5
213.5,,,,
215.5,,,,
213.5,,,,
215.5,,,,
220.5,,,43,220.5
24,,,,
56,,,,
49,,,,
220.5,,,,
227.5,,,44,227.5
110,,,,
-2,,,,
24,,,,
32,,,,
230.5,,,45,230.5
227.5,,,,
100,,,,
